State/Territory,West,East,North,South
Alabama,-88.30,-84.52,35.00,30.l5
Alaska,-180.00,-130.00,71.30,51.15
Arizona,-114.52,-109.00,37.00,31.20
Arkansas,-94.37,-89.37,36.30,33.00
California,-124.25,-114.07,42.00,32.32
Colorado,-109.07,-102.00,41.00,37.00
Connecticut,-73.45,-71.45,42.03,41.00
Delaware,-75.48,-75.00,39.51,38.27
District of Columbia,-77.07,-76.52,39.00,38.52
Florida,-87.37,-80.00,31.00,24.30
Georgia,-85.37,-80.45,35.00,30.21
Hawaii,-160.15,-154.45,22.14,18.52
Idaho,-117.15,-111.00,49.00,42.00
Illinois,-91.30,-87.30,42.30,37.00
Indiana,-88.07,-84.45,41.45,37.52
Iowa,-96.37,-90.07,43.30,40.22
Kansas,-102.30,-94.35,40.00,37.00
Kentucky,-89.35,-81.57,39.09,36.37
Louisiana,-94.03,-88.49,33.01,28.55
Maine,-71.08,-66.53,47.28,42.58
Maryland,-79.30,-75.00,39.45,37.52
Massachusetts,-73.31,-69.55,42.52,41.13
Michigan,-90.30,-82.22,48.17,41.42
Minnesota,-97.15,-89.30,49.23,43.30
Mississippi,-91.38,-88.07,35.00,30.00
Missouri,-95.47,-89.06,40.37,36.00
Montana,-116.03,-104.02,49.00,44.22
Nebraska,-104.03,-95.19,43.00,40.00
Nevada,-120.00,-114.03,42.00,35.00
Ne-Hampshire,-72.34,-70.35,45.21,42.42
Ne-Jersey,-75.33,-73.52,41.22,38.55
Ne-Mexico,-109.03,-103.00,37.00,31.20
Ne-York,-79.46,-71.52,45.01,40.30
North Carolina,-84.20,-75.25,36.36,33.51
North Dakota,-104.03,-96.33,49.00,45.56
Ohio,-84.49,-80.31,42.00,38.24
Oklahoma,-103.00,-94.26,37.00,33.37
Oregon,-124.35,-116.27,46.16,42.00
Pennsylvania,-80.31,-74.41,42.16,39.43
Puerto Rico,-67.57,-65.13,18.32,17.55
Rhode Island,-71.55,-71.07,42.01,41.08
South Carolina,-83.22,-78.31,35.13,32.00
South Dakota,-104.03,-96.26,45.56,42.29
Tennessee,-90.19,-81.38,36.41,34.58
Texas,-105.39,-93.30,36.30,25.50
Utah,-114.03,-109.00,42.00,37.00
Vermont,-73.36,-71.28,45.00,42.43
U. S. VirgiIslands,-64.48,-64.33,18.25,17.40
Virginia,-83.41,-75.15,39.28,36.32
Washington,-124.46,-116.55,49.00,45.32
West Virginia,-82.39,-77.44,40.38,37.12
Wisconsin,-92.54,-86.45,47.07,42.30
Wyoming,-111.06,-104.00,45.00,41.00